Airline,Source,Destination,Duration,Total_Stops,Price,Month,Day_Name
SpiceJet,Banglore,New Delhi,169.8,0,3527.0,March,Sunday
IndiGo,Banglore,Delhi,169.8,0,3943.0,May,Monday
Air India,Chennai,Kolkata,135.0,0,4667.0,May,Friday
Air India,Kolkata,Banglore,964.8,1,6117.0,May,Wednesday
Jet Airways,Delhi,Cochin,1195.2,2,11150.0,June,Thursday
Jet Airways,Delhi,Cochin,195.0,0,7202.0,March,Saturday
Jet Airways,Kolkata,Banglore,1519.8,1,12121.0,May,Wednesday
IndiGo,Banglore,New Delhi,169.8,0,4377.0,March,Sunday
IndiGo,Banglore,Delhi,180.0,0,3943.0,June,Tuesday
Air Asia,Banglore,Delhi,169.8,0,4483.0,April,Wednesday
Jet Airways,Kolkata,Banglore,975.0,1,14231.0,March,Sunday
Air India,Banglore,New Delhi,904.8,2,17345.0,March,Friday
Vistara,Chennai,Kolkata,135.0,0,7414.0,March,Wednesday
Multiple carriers,Delhi,Cochin,390.0,1,8073.0,May,Monday
Vistara,Mumbai,Hyderabad,1504.8,1,12395.0,March,Wednesday
Air India,Kolkata,Banglore,745.2,1,8366.0,June,Thursday
Air India,Delhi,Cochin,1639.8,1,5117.0,April,Wednesday
Multiple carriers,Delhi,Cochin,615.0,1,12524.0,June,Monday
IndiGo,Delhi,Cochin,630.0,1,7191.0,May,Wednesday
Vistara,Chennai,Kolkata,135.0,0,3687.0,May,Friday
IndiGo,Delhi,Cochin,625.2,1,5894.0,June,Monday
Vistara,Banglore,Delhi,169.8,0,5403.0,April,Wednesday
Air India,Mumbai,Hyderabad,90.0,0,3625.0,May,Monday
Air India,Delhi,Cochin,799.8,2,10861.0,May,Tuesday
IndiGo,Chennai,Kolkata,135.0,0,6297.0,March,Tuesday
Jet Airways,Mumbai,Hyderabad,85.19999999999999,0,5678.0,June,Saturday
Jet Airways,Banglore,New Delhi,1590.0,1,9134.0,March,Saturday
Multiple carriers,Delhi,Cochin,439.8,1,10791.0,June,Monday
Jet Airways,Delhi,Cochin,810.0,2,12819.0,June,Monday
IndiGo,Delhi,Cochin,300.0,1,6893.0,March,Thursday
Vistara,Banglore,New Delhi,165.0,0,7240.0,March,Saturday
GoAir,Banglore,Delhi,169.8,0,3898.0,April,Wednesday
IndiGo,Mumbai,Hyderabad,90.0,0,4049.0,April,Wednesday
Jet Airways,Delhi,Cochin,1144.8,1,10262.0,June,Saturday
SpiceJet,Chennai,Kolkata,135.0,0,3332.0,March,Thursday
Jet Airways,Kolkata,Banglore,889.8,1,10844.0,June,Sunday
Jet Airways,Banglore,New Delhi,160.2,0,7229.0,March,Sunday
Jet Airways,Kolkata,Banglore,1330.2,1,13941.0,May,Monday
IndiGo,Delhi,Cochin,574.8,1,5894.0,June,Thursday
Multiple carriers,Delhi,Cochin,600.0,1,10197.0,May,Saturday
Jet Airways,Banglore,New Delhi,1279.8,1,13712.0,March,Wednesday
IndiGo,Delhi,Cochin,325.2,1,5636.0,June,Monday
Jet Airways,Delhi,Cochin,1125.0,2,13014.0,June,Thursday
Jet Airways,Kolkata,Banglore,739.8,1,7064.0,April,Monday
Jet Airways,Kolkata,Banglore,1080.0,1,10703.0,May,Friday
Multiple carriers,Delhi,Cochin,555.0,1,9646.0,May,Monday
Multiple carriers,Delhi,Cochin,664.8,1,17057.0,March,Wednesday
Jet Airways,Banglore,New Delhi,1050.0,1,13817.0,March,Tuesday
Air India,Delhi,Cochin,799.8,2,13748.0,March,Wednesday
Air India,Kolkata,Banglore,154.8,0,4880.0,April,Sunday
IndiGo,Chennai,Kolkata,145.2,0,3540.0,June,Friday
SpiceJet,Banglore,Delhi,160.2,0,3257.0,May,Wednesday
Jet Airways,Banglore,Delhi,180.0,0,6478.0,June,Monday
Jet Airways,Mumbai,Hyderabad,85.19999999999999,0,8040.0,June,Tuesday
Jet Airways,Delhi,Cochin,994.8,2,14300.0,June,Wednesday
Jet Airways,Kolkata,Banglore,739.8,1,14781.0,May,Wednesday
Jet Airways,Kolkata,Banglore,735.0,1,14939.0,June,Sunday
Jet Airways,Delhi,Cochin,450.0,1,10262.0,June,Monday
Air India,Kolkata,Banglore,1440.0,1,6528.0,May,Sunday
Air India,Banglore,Delhi,165.0,0,6121.0,May,Wednesday
Jet Airways,Delhi,Cochin,535.2,2,13029.0,May,Saturday
Multiple carriers,Delhi,Cochin,430.2,1,11421.0,March,Wednesday
Multiple carriers,Delhi,Cochin,870.0,1,7574.0,March,Wednesday
Air India,Delhi,Cochin,1819.8,2,11596.0,May,Thursday
Jet Airways,Delhi,Cochin,1195.2,2,15129.0,May,Friday
Jet Airways,Banglore,New Delhi,900.0,1,13555.0,March,Monday
IndiGo,Banglore,Delhi,175.2,0,5780.0,April,Friday
Vistara,Kolkata,Banglore,765.0,1,9397.0,May,Sunday
Jet Airways,Delhi,Cochin,610.2,1,17024.0,March,Wednesday
GoAir,Delhi,Cochin,355.2,1,5281.0,June,Thursday
Multiple carriers,Delhi,Cochin,925.2,1,10348.0,May,Saturday
Air India,Delhi,Cochin,964.8,1,12677.0,March,Wednesday
Multiple carriers,Delhi,Cochin,610.2,1,15147.0,March,Sunday
Vistara,Banglore,Delhi,160.2,0,4668.0,June,Wednesday
Jet Airways,Delhi,Cochin,715.2,1,15554.0,May,Thursday
SpiceJet,Banglore,Delhi,160.2,0,3971.0,April,Tuesday
Air India,Mumbai,Hyderabad,85.19999999999999,0,3100.0,May,Friday
Jet Airways,Kolkata,Banglore,844.8,1,9663.0,May,Monday
Air India,Delhi,Cochin,1215.0,1,27430.0,March,Friday
IndiGo,Chennai,Kolkata,145.2,0,3540.0,May,Sunday
Air India,Kolkata,Banglore,1390.2,2,10676.0,May,Tuesday
Jet Airways,Kolkata,Banglore,1090.2,1,13044.0,June,Wednesday
Jet Airways,Kolkata,Banglore,960.0,1,14388.0,May,Monday
IndiGo,Banglore,Delhi,169.8,0,3943.0,June,Monday
IndiGo,Chennai,Kolkata,139.8,0,3597.0,June,Monday
Air India,Banglore,New Delhi,480.0,1,5932.0,March,Thursday
Jet Airways,Delhi,Cochin,1015.2,1,10262.0,June,Saturday
Vistara,Delhi,Cochin,190.2,0,6216.0,May,Sunday
IndiGo,Kolkata,Banglore,165.0,0,4804.0,June,Saturday
Multiple carriers,Delhi,Cochin,840.0,1,14067.0,May,Tuesday
Jet Airways,Delhi,Cochin,1429.8,2,15129.0,May,Saturday
Jet Airways,Delhi,Cochin,1300.2,2,13376.0,June,Thursday
Air India,Delhi,Cochin,1275.0,2,10441.0,June,Thursday
Jet Airways,Banglore,Delhi,165.0,0,4030.0,May,Friday
Jet Airways,Delhi,Cochin,649.8,1,17024.0,March,Sunday
Multiple carriers,Delhi,Cochin,480.0,1,13017.0,April,Tuesday
GoAir,Kolkata,Banglore,495.0,1,6686.0,June,Thursday
IndiGo,Delhi,Cochin,325.2,1,5636.0,June,Saturday
IndiGo,Delhi,Cochin,514.8,1,6442.0,June,Sunday
Multiple carriers,Delhi,Cochin,709.8,1,9486.0,May,Tuesday
Jet Airways,Kolkata,Banglore,1654.8,1,10844.0,May,Tuesday
Jet Airways,Delhi,Cochin,505.2,2,15318.0,June,Monday
Air India,Delhi,Cochin,1255.2,1,5117.0,April,Wednesday
IndiGo,Delhi,Cochin,289.8,1,6147.0,June,Monday
Multiple carriers,Delhi,Cochin,490.2,1,7005.0,June,Sunday
SpiceJet,Kolkata,Banglore,139.8,0,3873.0,April,Wednesday
Jet Airways,Delhi,Cochin,1465.2,2,9270.0,March,Thursday
GoAir,Banglore,Delhi,169.8,0,3898.0,June,Thursday
Jet Airways,Kolkata,Banglore,739.8,1,14781.0,May,Sunday
Jet Airways,Kolkata,Banglore,735.0,1,8586.0,May,Friday
Air India,Kolkata,Banglore,1414.8,2,10697.0,May,Thursday
Jet Airways,Delhi,Cochin,994.8,2,14300.0,June,Thursday
IndiGo,Banglore,New Delhi,169.8,0,8855.0,March,Sunday
Jet Airways,Kolkata,Banglore,1545.0,1,10844.0,May,Sunday
Jet Airways,Delhi,Cochin,1570.2,1,17024.0,March,Wednesday
Jet Airways,Kolkata,Banglore,1729.8,1,9314.0,May,Wednesday
IndiGo,Banglore,New Delhi,165.0,0,4777.0,March,Sunday
Air India,Kolkata,Banglore,1515.0,1,7662.0,June,Sunday
IndiGo,Delhi,Cochin,559.8,1,6442.0,May,Thursday
SpiceJet,Delhi,Cochin,270.0,1,5264.0,June,Wednesday
Jet Airways,Delhi,Cochin,925.2,1,12898.0,May,Monday
Air India,Mumbai,Hyderabad,90.0,0,6092.0,March,Sunday
SpiceJet,Banglore,Delhi,160.2,0,3311.0,May,Tuesday
Jet Airways,Delhi,Cochin,550.2,1,6540.0,March,Wednesday
IndiGo,Banglore,Delhi,165.0,0,3419.0,May,Monday
Jet Airways,Delhi,Cochin,1354.8,1,5177.0,April,Wednesday
Air India,Delhi,Cochin,184.8,0,8246.0,April,Thursday
Jet Airways,Kolkata,Banglore,690.0,1,14676.0,June,Sunday
Multiple carriers,Delhi,Cochin,570.0,1,13587.0,June,Thursday
Jet Airways,Kolkata,Banglore,730.2,1,9663.0,May,Monday
Jet Airways,Kolkata,Banglore,1054.8,1,13044.0,June,Wednesday
IndiGo,Delhi,Cochin,304.8,1,5073.0,April,Wednesday
Vistara,Kolkata,Banglore,1549.8,1,9345.0,May,Tuesday
Jet Airways,Kolkata,Banglore,1200.0,1,9663.0,May,Monday
Multiple carriers,Delhi,Cochin,780.0,1,14277.0,May,Tuesday
Jet Airways,Delhi,Cochin,1105.2,1,10262.0,June,Saturday
Jet Airways,Mumbai,Hyderabad,90.0,0,5678.0,March,Wednesday
Multiple carriers,Delhi,Cochin,570.0,1,13727.0,May,Wednesday
Jet Airways,Kolkata,Banglore,960.0,1,9663.0,May,Monday
IndiGo,Chennai,Kolkata,139.8,0,3858.0,May,Sunday
SpiceJet,Delhi,Cochin,270.0,1,4812.0,June,Monday
IndiGo,Delhi,Cochin,345.0,1,5775.0,June,Thursday
Jet Airways,Kolkata,Banglore,1450.2,1,10539.0,June,Thursday
IndiGo,Kolkata,Banglore,154.8,0,4804.0,June,Monday
Air Asia,Banglore,Delhi,165.0,0,3383.0,June,Wednesday
IndiGo,Banglore,New Delhi,295.2,1,8738.0,March,Sunday
Air India,Delhi,Cochin,1534.8,1,7165.0,March,Wednesday
IndiGo,Delhi,Cochin,379.8,1,6412.0,June,Monday
Jet Airways,Banglore,Delhi,184.8,0,8016.0,June,Thursday
Jet Airways,Banglore,New Delhi,1120.2,1,11087.0,March,Tuesday
SpiceJet,Chennai,Kolkata,135.0,0,3543.0,June,Thursday
Jet Airways,Kolkata,Banglore,730.2,1,12471.0,June,Wednesday
Jet Airways,Delhi,Cochin,1165.2,1,10262.0,June,Monday
Air India,Banglore,New Delhi,169.8,0,4441.0,March,Monday
Multiple carriers,Delhi,Cochin,505.2,1,12537.0,March,Wednesday
GoAir,Kolkata,Banglore,555.0,1,10091.0,March,Sunday
Air India,Banglore,Delhi,169.8,0,6961.0,June,Monday
IndiGo,Delhi,Cochin,195.0,0,5013.0,April,Wednesday
Air India,Delhi,Cochin,169.8,0,6934.0,May,Saturday
Multiple carriers,Delhi,Cochin,739.8,1,10877.0,June,Monday
Jet Airways,Banglore,Delhi,175.2,0,7229.0,April,Thursday
IndiGo,Delhi,Cochin,574.8,1,7048.0,March,Wednesday
Vistara,Banglore,Delhi,154.8,0,4878.0,June,Thursday
Jet Airways,Kolkata,Banglore,570.0,1,10844.0,May,Tuesday
Jet Airways,Delhi,Cochin,1759.8,2,15129.0,May,Saturday
IndiGo,Banglore,Delhi,175.2,0,3943.0,May,Sunday
SpiceJet,Delhi,Cochin,315.0,1,5583.0,June,Thursday
Multiple carriers,Delhi,Cochin,544.8,1,9646.0,June,Thursday
Multiple carriers,Delhi,Cochin,645.0,1,7677.0,June,Monday
IndiGo,Delhi,Cochin,295.2,1,6842.0,June,Saturday
Jet Airways,Mumbai,Hyderabad,90.0,0,4995.0,June,Monday
Vistara,Kolkata,Banglore,700.2,1,9555.0,June,Sunday
IndiGo,Banglore,Delhi,165.0,0,4077.0,June,Saturday
Jet Airways,Banglore,Delhi,175.2,0,7229.0,May,Sunday
Multiple carriers,Delhi,Cochin,600.0,1,12192.0,June,Sunday
Air India,Banglore,Delhi,165.0,0,5911.0,April,Friday
Air India,Delhi,Cochin,615.0,1,8372.0,June,Wednesday
Jet Airways,Mumbai,Hyderabad,85.19999999999999,0,4995.0,March,Monday
Multiple carriers,Delhi,Cochin,555.0,1,14323.0,May,Thursday
Jet Airways,Delhi,Cochin,1375.2,2,13014.0,June,Sunday
Air India,Delhi,Cochin,1729.8,2,13591.0,June,Thursday
Jet Airways,Delhi,Cochin,2245.2000000000003,2,18799.0,March,Sunday
IndiGo,Banglore,Delhi,169.8,0,3943.0,April,Saturday
SpiceJet,Mumbai,Hyderabad,90.0,0,1965.0,May,Tuesday
Jet Airways,Mumbai,Hyderabad,90.0,0,4995.0,May,Monday
Air India,Kolkata,Banglore,1540.2,1,14641.0,March,Sunday
Air India,Kolkata,Banglore,154.8,0,4460.0,April,Friday
Air India,Delhi,Cochin,375.0,1,10191.0,May,Saturday
Jet Airways,Delhi,Cochin,1050.0,1,13843.0,March,Saturday
IndiGo,Delhi,Cochin,345.0,1,6349.0,May,Wednesday
Air Asia,Kolkata,Banglore,154.8,0,4409.0,May,Wednesday
Jet Airways,Delhi,Cochin,1530.0,1,17024.0,March,Wednesday
Multiple carriers,Delhi,Cochin,835.2,1,13727.0,May,Saturday
IndiGo,Banglore,New Delhi,175.2,0,8855.0,March,Friday
Multiple carriers,Delhi,Cochin,615.0,1,12524.0,June,Monday
Jet Airways,Banglore,New Delhi,520.2,1,13555.0,March,Monday
Jet Airways,Kolkata,Banglore,330.0,1,10844.0,June,Thursday
Multiple carriers,Delhi,Cochin,720.0,1,13587.0,June,Sunday
SpiceJet,Chennai,Kolkata,135.0,0,3543.0,June,Wednesday
Vistara,Chennai,Kolkata,135.0,0,4842.0,March,Monday
IndiGo,Banglore,Delhi,169.8,0,3943.0,April,Wednesday
Jet Airways,Delhi,Cochin,550.2,1,10577.0,June,Sunday
IndiGo,Delhi,Cochin,625.2,1,6979.0,May,Wednesday
Vistara,Chennai,Kolkata,139.8,0,11982.0,June,Thursday
SpiceJet,Delhi,Cochin,270.0,1,5264.0,June,Thursday
Vistara,Delhi,Cochin,190.2,0,8001.0,March,Sunday
Air India,Delhi,Cochin,1410.0,2,10651.0,June,Saturday
Jet Airways,Kolkata,Banglore,1639.8,1,10844.0,May,Friday
Multiple carriers,Delhi,Cochin,754.8,1,6601.0,March,Wednesday
Air India,Delhi,Cochin,1455.0,1,6587.0,March,Thursday
SpiceJet,Mumbai,Hyderabad,79.80000000000001,0,3173.0,March,Thursday
Air India,Banglore,Delhi,165.0,0,5228.0,May,Thursday
Jet Airways,Banglore,Delhi,180.0,0,5769.0,June,Friday
Jet Airways,Delhi,Cochin,660.0,1,14714.0,June,Thursday
Jet Airways,Delhi,Cochin,810.0,2,13014.0,June,Monday
IndiGo,Banglore,Delhi,169.8,0,3359.0,June,Monday
GoAir,Banglore,New Delhi,175.2,0,6722.0,March,Sunday
IndiGo,Kolkata,Banglore,165.0,0,4462.0,March,Monday
IndiGo,Delhi,Cochin,675.0,1,6171.0,March,Saturday
Air India,Kolkata,Banglore,874.8,2,12303.0,May,Tuesday
Multiple carriers,Delhi,Cochin,835.2,1,7695.0,March,Thursday
IndiGo,Delhi,Cochin,844.8,1,5684.0,June,Monday
Air India,Kolkata,Banglore,904.8,1,8366.0,June,Wednesday
Air India,Chennai,Kolkata,135.0,0,19630.0,March,Friday
Jet Airways,Banglore,New Delhi,900.0,1,13502.0,March,Wednesday
Jet Airways,Kolkata,Banglore,775.2,1,14781.0,May,Wednesday
Multiple carriers,Delhi,Cochin,540.0,1,6513.0,June,Wednesday
Air India,Delhi,Cochin,735.0,1,9929.0,June,Saturday
Multiple carriers,Delhi,Cochin,460.2,2,18275.0,June,Thursday
Air India,Delhi,Cochin,1639.8,1,4487.0,April,Tuesday
IndiGo,Mumbai,Hyderabad,85.19999999999999,0,2754.0,March,Friday
Air India,Mumbai,Hyderabad,79.80000000000001,0,2575.0,March,Wednesday
SpiceJet,Kolkata,Banglore,330.0,1,8224.0,June,Wednesday
Air India,Delhi,Cochin,705.0,1,8991.0,March,Saturday
IndiGo,Delhi,Cochin,195.0,0,5000.0,June,Monday
Jet Airways,Kolkata,Banglore,1495.2,1,8529.0,June,Wednesday
Air India,Delhi,Cochin,1639.8,1,14042.0,March,Sunday
Jet Airways,Banglore,Delhi,175.2,0,4030.0,May,Friday
Jet Airways,Kolkata,Banglore,1024.8,1,10844.0,June,Thursday
IndiGo,Kolkata,Banglore,160.2,0,4804.0,May,Monday
Multiple carriers,Delhi,Cochin,480.0,1,7308.0,May,Monday
IndiGo,Banglore,Delhi,180.0,0,4823.0,May,Sunday
Jet Airways,Delhi,Cochin,1654.8,1,10262.0,June,Monday
Jet Airways,Delhi,Cochin,450.0,1,12898.0,May,Monday
Air India,Banglore,New Delhi,1375.2,2,12778.0,March,Tuesday
IndiGo,Delhi,Cochin,514.8,1,14871.0,March,Sunday
Air India,Delhi,Cochin,1795.2,2,8708.0,March,Thursday
Jet Airways,Kolkata,Banglore,1335.0,1,10844.0,June,Thursday
SpiceJet,Mumbai,Hyderabad,79.80000000000001,0,4129.0,March,Wednesday
IndiGo,Kolkata,Banglore,160.2,0,4804.0,May,Saturday
Jet Airways,Banglore,Delhi,180.0,0,7229.0,May,Monday
Jet Airways,Banglore,New Delhi,730.2,1,7832.0,March,Thursday
SpiceJet,Chennai,Kolkata,154.8,0,3859.0,March,Monday
Multiple carriers,Delhi,Cochin,705.0,1,9001.0,June,Thursday
Vistara,Banglore,Delhi,154.8,0,4878.0,May,Thursday
IndiGo,Mumbai,Hyderabad,90.0,0,2754.0,May,Friday
Vistara,Banglore,Delhi,160.2,0,4668.0,June,Thursday
Air Asia,Kolkata,Banglore,154.8,0,5216.0,May,Sunday
Jet Airways,Delhi,Cochin,1375.2,2,10368.0,June,Thursday
IndiGo,Delhi,Cochin,880.2,2,8146.0,March,Saturday
Jet Airways,Delhi,Cochin,925.2,1,12242.0,March,Wednesday
Jet Airways,Banglore,New Delhi,435.0,1,9134.0,March,Friday
Air India,Delhi,Cochin,1210.2,2,10939.0,June,Thursday
Air India,Delhi,Cochin,1245.0,2,11753.0,June,Thursday
SpiceJet,Kolkata,Banglore,150.0,0,4174.0,April,Wednesday
Jet Airways,Kolkata,Banglore,1429.8,1,10844.0,May,Tuesday
Jet Airways,Delhi,Cochin,1620.0,1,14714.0,June,Monday
Jet Airways,Kolkata,Banglore,330.0,1,9899.0,June,Wednesday
IndiGo,Delhi,Cochin,709.8,1,14871.0,March,Sunday
IndiGo,Chennai,Kolkata,135.0,0,7295.0,March,Wednesday
Air India,Delhi,Cochin,1470.0,2,13465.0,June,Thursday
SpiceJet,Chennai,Kolkata,139.8,0,3543.0,May,Tuesday
Multiple carriers,Delhi,Cochin,390.0,1,7198.0,June,Thursday
Jet Airways,Delhi,Cochin,1225.2,1,10262.0,June,Saturday
IndiGo,Kolkata,Banglore,154.8,0,4148.0,March,Friday
Jet Airways,Banglore,Delhi,175.2,0,8016.0,June,Thursday
Jet Airways,Delhi,Cochin,334.8,1,10262.0,June,Sunday
SpiceJet,Kolkata,Banglore,150.0,0,3841.0,June,Saturday
Jet Airways,Banglore,New Delhi,885.0,1,11507.0,March,Tuesday
Jet Airways,Kolkata,Banglore,739.8,1,14781.0,May,Wednesday
Jet Airways,Delhi,Cochin,1530.0,1,16079.0,May,Monday
Jet Airways,Delhi,Cochin,334.8,1,12898.0,May,Monday
Multiple carriers,Delhi,Cochin,705.0,1,15353.0,March,Wednesday
IndiGo,Banglore,New Delhi,175.2,0,7303.0,March,Sunday
SpiceJet,Kolkata,Banglore,340.2,1,6197.0,March,Sunday
Air India,Kolkata,Banglore,244.8,1,8996.0,June,Sunday
IndiGo,Delhi,Cochin,480.0,1,6528.0,March,Thursday
GoAir,Banglore,Delhi,165.0,0,4239.0,April,Tuesday
IndiGo,Kolkata,Banglore,160.2,0,4148.0,March,Tuesday
SpiceJet,Banglore,Delhi,175.2,0,3971.0,May,Friday
Air Asia,Kolkata,Banglore,955.2,1,5192.0,May,Monday
Jet Airways,Delhi,Cochin,1390.2,2,9483.0,April,Tuesday
Jet Airways,Delhi,Cochin,439.8,2,18804.0,June,Monday
Air India,Delhi,Cochin,169.8,0,5201.0,June,Tuesday
Jet Airways,Delhi,Cochin,450.0,1,16079.0,May,Monday
Jet Airways,Banglore,Delhi,180.0,0,7229.0,June,Saturday
Multiple carriers,Delhi,Cochin,465.0,1,6795.0,May,Monday
Jet Airways,Kolkata,Banglore,1519.8,1,10953.0,May,Thursday
Multiple carriers,Delhi,Cochin,625.2,2,15965.0,June,Monday
Air India,Delhi,Cochin,1819.8,2,9968.0,April,Tuesday
IndiGo,Kolkata,Banglore,154.8,0,4804.0,June,Thursday
Jet Airways,Delhi,Cochin,540.0,1,16079.0,May,Monday
Jet Airways,Delhi,Cochin,910.2,2,11507.0,June,Wednesday
Air India,Kolkata,Banglore,1699.8,2,11542.0,June,Sunday
Jet Airways,Banglore,Delhi,180.0,0,7229.0,April,Wednesday
Jet Airways,Banglore,Delhi,165.0,0,4544.0,April,Saturday
IndiGo,Delhi,Cochin,295.2,1,6496.0,May,Wednesday
IndiGo,Kolkata,Banglore,160.2,0,4804.0,June,Saturday
Air India,Banglore,New Delhi,1330.2,1,13439.0,March,Friday
Jet Airways,Delhi,Cochin,610.2,1,6540.0,March,Wednesday
IndiGo,Banglore,Delhi,169.8,0,4591.0,June,Saturday
IndiGo,Banglore,New Delhi,259.8,1,4437.0,March,Monday
Air Asia,Delhi,Cochin,660.0,1,6151.0,March,Thursday
Jet Airways,Banglore,Delhi,180.0,0,7754.0,June,Friday
Jet Airways,Delhi,Cochin,1354.8,1,10262.0,June,Monday
Jet Airways,Banglore,Delhi,184.8,0,8016.0,June,Sunday
SpiceJet,Kolkata,Banglore,160.2,0,4781.0,March,Sunday
Vistara,Banglore,Delhi,169.8,0,4668.0,June,Thursday
Air India,Banglore,New Delhi,1264.8,1,14594.0,March,Wednesday
Jet Airways,Kolkata,Banglore,709.8,1,14231.0,March,Sunday
Air India,Delhi,Cochin,1534.8,1,8425.0,May,Wednesday
Multiple carriers,Delhi,Cochin,925.2,1,9646.0,June,Wednesday
IndiGo,Chennai,Kolkata,145.2,0,7295.0,March,Sunday
Air Asia,Kolkata,Banglore,220.2,1,5162.0,April,Tuesday
IndiGo,Banglore,New Delhi,175.2,0,6860.0,March,Saturday
Vistara,Delhi,Cochin,190.2,0,6216.0,April,Monday
Air Asia,Kolkata,Banglore,709.8,1,5192.0,May,Friday
IndiGo,Banglore,Delhi,169.8,0,4823.0,April,Tuesday
SpiceJet,Banglore,Delhi,169.8,0,3919.0,April,Wednesday
IndiGo,Mumbai,Hyderabad,90.0,0,2754.0,June,Monday
Multiple carriers,Delhi,Cochin,690.0,1,9315.0,May,Thursday
Multiple carriers,Delhi,Cochin,529.8,1,11667.0,March,Wednesday
Jet Airways,Kolkata,Banglore,1215.0,1,6224.0,June,Wednesday
Air India,Kolkata,Banglore,1210.2,2,13349.0,March,Sunday
Jet Airways,Banglore,New Delhi,964.8,1,11087.0,March,Monday
Multiple carriers,Delhi,Cochin,754.8,1,15603.0,March,Wednesday
Jet Airways,Delhi,Cochin,1024.8,2,15129.0,May,Thursday
IndiGo,Banglore,Delhi,180.0,0,4823.0,April,Tuesday
Vistara,Kolkata,Banglore,930.0,1,8452.0,May,Wednesday
Multiple carriers,Delhi,Cochin,690.0,1,12524.0,June,Thursday
SpiceJet,Chennai,Kolkata,139.8,0,3384.0,March,Wednesday
Jet Airways,Delhi,Cochin,1425.0,1,10262.0,June,Saturday
SpiceJet,Mumbai,Hyderabad,90.0,0,1965.0,June,Tuesday
IndiGo,Kolkata,Banglore,154.8,0,4804.0,May,Saturday
Jet Airways,Delhi,Cochin,1485.0,1,16079.0,May,Monday
Jet Airways,Delhi,Cochin,1294.8,2,13292.0,June,Saturday
Air Asia,Delhi,Cochin,330.0,1,6751.0,May,Thursday
Air India,Delhi,Cochin,735.0,1,8669.0,May,Wednesday
IndiGo,Delhi,Cochin,484.8,1,14871.0,March,Sunday
Jet Airways,Delhi,Cochin,300.0,1,12898.0,May,Tuesday
SpiceJet,Banglore,Delhi,169.8,0,3919.0,June,Thursday
